neighborhood,garage_type,lot_area,house_age,overall_qual,gr_liv_area,kitchen_qual,garage_area,total_bsmt_sf,bsmt_qual,saleprice
NAmes,Detchd,8520,58,5,1385,3,720.0,910.0,3.0,166000
NAmes,Attchd,6760,45,5,936,3,288.0,896.0,3.0,130000
SWISU,Detchd,6191,65,5,1288,3,240.0,824.0,2.0,112000
NAmes,Attchd,8700,45,5,1128,3,525.0,1120.0,3.0,155000
Timber,BuiltIn,12003,1,8,1968,5,680.0,774.0,5.0,269500
NAmes,Attchd,12700,42,6,1246,3,441.0,1246.0,3.0,172000
Crawfor,Attchd,13125,67,7,1740,3,240.0,800.0,3.0,219500
Sawyer,Detchd,8638,43,5,925,3,484.0,925.0,3.0,133500
Gilbert,BuiltIn,9967,7,7,1430,3,400.0,384.0,4.0,170000
OldTown,Detchd,9600,110,8,1566,4,288.0,930.0,3.0,150000
NAmes,Detchd,12774,55,5,950,3,400.0,984.0,3.0,130000
NAmes,Attchd,8163,47,5,1144,3,796.0,1144.0,3.0,143000
NAmes,Attchd,9900,47,5,1114,3,451.0,1114.0,3.0,140000
NAmes,Attchd,13651,34,7,2223,3,516.0,2223.0,4.0,244000
IDOTRR,Detchd,7200,87,5,1111,2,288.0,530.0,3.0,101000
OldTown,Detchd,9750,48,5,960,3,624.0,960.0,3.0,125000
Gilbert,Attchd,11184,10,6,1633,3,460.0,932.0,4.0,183000
OldTown,none,5520,97,6,2229,3,0.0,755.0,3.0,104000
NAmes,Detchd,6390,54,6,984,3,280.0,936.0,3.0,112500
NWAmes,Attchd,10240,26,6,1686,3,612.0,1686.0,4.0,207500
CollgCr,Attchd,9316,1,7,1614,4,576.0,1614.0,4.0,225000
CollgCr,Detchd,7200,34,5,864,3,297.0,864.0,3.0,119900
NridgHt,Attchd,12228,0,7,1740,4,874.0,1721.0,5.0,293000
Sawyer,Attchd,10335,38,5,1721,3,440.0,1461.0,3.0,180000
Mitchel,Attchd,12328,34,6,1034,3,888.0,1012.0,3.0,169900
Sawyer,Attchd,8930,32,6,1902,3,539.0,0.0,0.0,112000
SawyerW,Attchd,9672,26,6,1097,3,480.0,1040.0,4.0,152000
NridgHt,BuiltIn,13975,1,9,2206,5,670.0,1090.0,4.0,300000
Edwards,Detchd,7819,34,6,1117,3,672.0,1029.0,3.0,107000
OldTown,Detchd,11340,125,4,2290,3,560.0,777.0,3.0,122500
BrDale,Detchd,1680,34,6,948,3,264.0,483.0,3.0,89000
SWISU,Detchd,6001,70,6,919,3,231.0,600.0,2.0,95000
NWAmes,Attchd,11700,39,6,1152,3,412.0,912.0,3.0,143450
NridgHt,Attchd,12858,1,9,2334,5,751.0,1590.0,5.0,376162
NAmes,Attchd,9300,50,5,1264,3,461.0,1268.0,3.0,167500
SawyerW,Detchd,7018,30,5,1224,3,528.0,1086.0,4.0,153337
Edwards,Detchd,6629,84,6,1369,3,300.0,672.0,3.0,103600
CollgCr,Attchd,10650,34,5,894,3,308.0,894.0,3.0,128200
Somerst,Detchd,2117,10,6,1573,4,440.0,756.0,4.0,177500
NridgHt,Attchd,13650,8,8,2250,4,756.0,1671.0,4.0,320000
Gilbert,Attchd,8433,9,6,1514,3,394.0,794.0,4.0,190000
BrDale,none,1680,35,6,1218,3,0.0,672.0,3.0,91500
OldTown,BuiltIn,6000,55,5,1387,4,256.0,811.0,3.0,93000
IDOTRR,Detchd,8500,88,4,1317,3,250.0,649.0,3.0,40000
IDOTRR,none,6882,93,6,1355,4,0.0,684.0,3.0,127000
IDOTRR,Detchd,8712,114,4,952,3,330.0,756.0,3.0,50138
Edwards,Attchd,7917,31,6,1113,3,504.0,1143.0,3.0,148000
IDOTRR,Detchd,6900,68,5,778,3,924.0,740.0,3.0,120500
SWISU,Detchd,9900,69,6,1489,3,240.0,778.0,3.0,139500
Edwards,Attchd,13286,2,9,1698,5,768.0,1698.0,5.0,320000
Sawyer,Attchd,12888,70,7,2267,3,498.0,1005.0,3.0,219000
Mitchel,Attchd,8885,23,5,902,3,484.0,864.0,4.0,131000
Gilbert,Attchd,8857,1,6,1495,4,440.0,738.0,4.0,171925
Gilbert,Attchd,14137,12,5,1384,4,404.0,1348.0,4.0,177900
Crawfor,Detchd,6720,86,6,1436,3,228.0,585.0,3.0,141500
Gilbert,Attchd,7500,11,6,1636,3,440.0,952.0,4.0,191000
SawyerW,Detchd,13072,2,6,1158,4,576.0,1158.0,4.0,158000
Timber,Attchd,10656,1,8,1646,4,870.0,1638.0,4.0,248900
SWISU,Detchd,7200,70,5,1768,4,240.0,731.0,4.0,175000
NAmes,Attchd,8800,41,6,1565,4,299.0,1187.0,3.0,185900
OldTown,Detchd,10800,92,7,1768,3,320.0,880.0,4.0,163000
IDOTRR,none,9000,55,5,1396,3,0.0,660.0,3.0,115000
Sawyer,Attchd,13014,30,6,1096,3,484.0,1008.0,3.0,157500
Gilbert,BuiltIn,15896,10,7,2312,4,658.0,1177.0,4.0,245000
StoneBr,Attchd,5395,15,8,1337,4,462.0,1337.0,4.0,180000
Somerst,Detchd,5105,3,7,1102,4,480.0,551.0,4.0,148800
CollgCr,Attchd,9473,6,8,2031,4,577.0,1128.0,4.0,237000
SWISU,Detchd,8400,89,2,438,2,246.0,290.0,3.0,60000
Edwards,BuiltIn,12102,32,5,1033,3,504.0,456.0,4.0,165000
CollgCr,BuiltIn,10905,5,7,2327,4,596.0,1129.0,4.0,240000
Gilbert,Attchd,9556,15,7,1187,4,420.0,1168.0,4.0,160000
SWISU,Attchd,6430,61,6,1340,3,440.0,780.0,3.0,128000
Edwards,none,6040,53,4,1152,2,0.0,0.0,0.0,82000
NAmes,Attchd,14695,43,6,1567,4,542.0,1562.0,3.0,256000
OldTown,Detchd,9000,89,7,1482,3,324.0,650.0,3.0,143000
Timber,Attchd,8368,1,7,1689,4,433.0,1689.0,4.0,231713
Gilbert,2Types,41600,38,5,1424,3,828.0,1100.0,4.0,155000
Mitchel,Attchd,6490,25,5,816,3,264.0,816.0,3.0,128500
SWISU,Attchd,7290,87,7,1424,3,312.0,1228.0,3.0,168000
NAmes,Attchd,7472,35,7,1479,4,484.0,725.0,3.0,184000
NAmes,none,7000,44,5,1025,3,0.0,1025.0,3.0,124000
NWAmes,Attchd,11717,39,6,1442,3,615.0,1442.0,3.0,185000
Gilbert,Attchd,11194,6,8,1936,4,504.0,1406.0,4.0,230500
CollgCr,Attchd,11250,8,7,1939,4,555.0,1054.0,4.0,227000
CollgCr,Attchd,8633,4,6,1476,4,540.0,738.0,4.0,173500
NAmes,Attchd,8400,38,5,898,3,326.0,833.0,4.0,140000
Somerst,Attchd,10037,2,8,1460,4,480.0,1460.0,5.0,247000
Sawyer,Basment,8014,31,6,1034,3,504.0,456.0,4.0,149900
CollgCr,Attchd,12250,30,5,1174,3,528.0,864.0,4.0,158000
Somerst,Attchd,2403,7,7,1080,4,496.0,530.0,4.0,147110
IDOTRR,Detchd,8600,69,6,1376,3,198.0,780.0,3.0,119500
Crawfor,Detchd,13680,69,5,1567,3,440.0,840.0,3.0,205000
OldTown,none,10800,112,5,1534,4,0.0,736.0,4.0,148000
StoneBr,Attchd,5389,15,8,1616,4,608.0,1595.0,4.0,236500
SWISU,Detchd,10890,68,5,1551,2,240.0,1058.0,2.0,137000
NAmes,Attchd,9768,54,5,960,3,330.0,960.0,3.0,122000
Gilbert,Attchd,8993,0,7,1302,4,436.0,1302.0,4.0,176485
BrkSide,Detchd,11672,81,5,816,3,210.0,816.0,3.0,109000
GrnHill,Attchd,9763,9,7,1502,4,286.0,1502.0,4.0,330000
OldTown,Detchd,9836,0,6,1133,3,308.0,192.0,3.0,143000
NoRidge,Attchd,10557,9,9,3078,4,806.0,1408.0,5.0,410000
SawyerW,Attchd,8462,13,6,1721,4,471.0,928.0,4.0,201000
OldTown,Detchd,10818,96,4,1760,3,648.0,1077.0,2.0,80000
Crawfor,Detchd,7259,62,6,2320,4,180.0,1028.0,3.0,259500
Timber,BuiltIn,11800,4,7,2486,4,452.0,1122.0,4.0,279900
NAmes,Attchd,7500,51,5,1246,4,305.0,1246.0,3.0,154000
ClearCr,Attchd,159000,49,6,2144,4,389.0,1444.0,4.0,277000
Edwards,BuiltIn,6488,64,5,1150,3,215.0,799.0,3.0,128000
NridgHt,Attchd,14230,2,8,1600,4,890.0,1566.0,4.0,256300
Crawfor,Detchd,7810,77,4,1755,4,231.0,930.0,3.0,188000
Timber,Attchd,14331,4,8,1800,4,765.0,1800.0,5.0,312500
Somerst,Detchd,3182,6,7,1200,4,480.0,600.0,4.0,151000
BrDale,Detchd,1920,36,5,1365,3,440.0,765.0,3.0,122500
SawyerW,Attchd,10110,5,6,1696,4,542.0,835.0,4.0,188000
CollgCr,Attchd,10984,1,7,1809,4,638.0,945.0,4.0,209700
StoneBr,Attchd,14082,1,8,2234,4,724.0,2220.0,5.0,441929
SawyerW,Attchd,8480,15,6,1680,4,474.0,886.0,4.0,163000
ClearCr,Attchd,12205,41,6,2087,4,444.0,832.0,3.0,187500
CollgCr,Attchd,15750,10,8,1513,4,521.0,1462.0,4.0,220000
NAmes,Attchd,8050,40,5,1107,4,308.0,949.0,3.0,127000
NAmes,Detchd,7200,55,5,827,3,392.0,0.0,0.0,107500
OldTown,none,6300,94,6,1484,3,0.0,742.0,3.0,128000
OldTown,Detchd,5232,83,5,764,3,504.0,680.0,2.0,73000
NridgHt,Attchd,11846,3,9,1792,5,874.0,1792.0,5.0,374000
NridgHt,Attchd,16900,7,8,2649,4,746.0,1479.0,5.0,421250
Gilbert,BuiltIn,9636,17,6,1593,3,389.0,808.0,4.0,178000
Edwards,Detchd,10012,36,4,1181,3,588.0,1138.0,4.0,137500
NoRidge,Attchd,14303,14,8,1987,4,691.0,1986.0,4.0,301500
SWISU,Detchd,5707,74,6,1242,3,180.0,583.0,3.0,105000
NAmes,Attchd,9360,38,6,976,4,504.0,976.0,3.0,157500
OldTown,Detchd,5680,106,5,1214,3,216.0,969.0,3.0,117000
NAmes,Attchd,7000,44,5,864,3,336.0,864.0,3.0,105000
SWISU,Detchd,10480,72,6,1639,3,240.0,1064.0,3.0,115000
NridgHt,Attchd,11578,1,9,1736,5,834.0,1736.0,5.0,360000
SawyerW,Attchd,7018,30,5,1535,3,400.0,0.0,0.0,118858
NWAmes,Attchd,9130,42,6,1632,4,484.0,800.0,3.0,173000
OldTown,Detchd,10800,119,3,725,3,320.0,630.0,3.0,78500
Gilbert,Attchd,8244,3,7,1720,4,440.0,840.0,4.0,183500
OldTown,Detchd,6000,56,4,936,3,576.0,936.0,2.0,93000
Blmngtn,Attchd,3621,4,8,1589,4,630.0,1406.0,4.0,226500
Gilbert,Attchd,7837,16,6,1571,3,380.0,799.0,4.0,178000
CollgCr,Attchd,10665,4,7,1479,4,558.0,1453.0,4.0,226000
Mitchel,Attchd,10457,40,5,1632,3,898.0,784.0,3.0,173000
Sawyer,Detchd,8281,44,5,864,3,360.0,864.0,3.0,62383
NridgHt,Attchd,14948,0,9,2713,5,858.0,1452.0,5.0,446261
SWISU,Detchd,7000,80,7,1479,4,312.0,624.0,3.0,160000
Blmngtn,Attchd,3940,4,7,1576,4,668.0,1393.0,4.0,219990
CollgCr,Attchd,9382,9,7,1479,4,577.0,1468.0,4.0,191000
BrkSide,Detchd,6854,82,5,1060,3,308.0,756.0,3.0,136500
Edwards,Detchd,11515,49,4,943,4,308.0,0.0,0.0,80000
NWAmes,Attchd,13837,18,7,2183,4,786.0,1204.0,4.0,229000
SawyerW,Attchd,9938,17,7,1949,4,574.0,1050.0,4.0,236000
Timber,Attchd,12633,1,10,1824,5,932.0,1824.0,5.0,392000
IDOTRR,Attchd,6876,82,6,1930,3,316.0,720.0,3.0,149000
Somerst,Attchd,3951,10,10,2393,5,846.0,970.0,4.0,345000
OldTown,Detchd,9856,106,5,2014,3,624.0,716.0,2.0,169000
Edwards,Attchd,17808,61,4,1242,3,336.0,484.0,3.0,109900
Mitchel,Attchd,9627,13,7,2000,3,650.0,996.0,4.0,188000
BrkSide,Detchd,6000,70,6,1412,3,280.0,780.0,3.0,132500
CollgCr,Attchd,9757,15,5,990,3,440.0,990.0,3.0,143000
Edwards,Detchd,9280,56,5,1342,3,256.0,1342.0,2.0,125000
NridgHt,Attchd,14780,1,9,1868,5,1085.0,1868.0,5.0,415000
OldTown,Detchd,7740,100,4,1363,3,528.0,622.0,2.0,125500
NAmes,Attchd,9600,51,6,1632,3,338.0,1240.0,3.0,139000
NridgHt,BuiltIn,13478,1,10,2296,5,842.0,1722.0,5.0,451950
Edwards,none,10926,50,5,1678,3,0.0,1678.0,3.0,119900
Timber,Attchd,6853,8,8,1296,4,471.0,1267.0,5.0,220000
NAmes,Attchd,10667,36,6,1587,3,525.0,1587.0,3.0,167300
Edwards,Detchd,8212,68,5,1298,3,256.0,720.0,3.0,122000
Sawyer,Detchd,9100,43,5,1728,3,504.0,1728.0,3.0,125000
OldTown,Attchd,6000,51,5,928,3,288.0,928.0,3.0,112500
CollgCr,Attchd,9316,2,7,1795,4,578.0,879.0,4.0,191000
NAmes,Attchd,9464,50,6,1080,3,288.0,1080.0,3.0,136000
CollgCr,Attchd,10400,11,7,1779,4,546.0,866.0,4.0,197900
OldTown,Attchd,5310,96,6,1635,4,255.0,485.0,3.0,117000
CollgCr,Attchd,7406,0,7,1220,4,632.0,1199.0,4.0,194000
Somerst,Attchd,4538,7,9,1310,4,545.0,1310.0,5.0,285000
Edwards,none,10106,68,5,1355,3,0.0,644.0,3.0,127500
NoRidge,Attchd,13346,14,7,2295,4,590.0,1095.0,4.0,268000
OldTown,Detchd,9639,107,4,1798,3,342.0,1075.0,3.0,137000
NWAmes,Attchd,15387,41,7,1620,4,578.0,1620.0,3.0,215000
NAmes,Attchd,10050,52,5,1216,3,336.0,1216.0,3.0,129500
BrkSide,Detchd,6240,70,5,1344,3,240.0,896.0,4.0,115000
OldTown,Detchd,7506,83,5,1159,3,288.0,747.0,3.0,114000
SawyerW,Detchd,8900,40,4,1056,3,384.0,1056.0,3.0,107000
NAmes,Detchd,8480,61,5,1216,3,336.0,832.0,3.0,118500
BrkSide,BuiltIn,6000,79,6,1158,3,208.0,862.0,3.0,120000
Somerst,Attchd,8847,2,8,1538,4,484.0,1538.0,4.0,260000
NAmes,Attchd,8050,51,5,1143,3,308.0,1143.0,3.0,136000
NAmes,Detchd,8294,36,4,872,3,480.0,858.0,3.0,123000
IDOTRR,none,7920,88,6,1406,2,0.0,319.0,3.0,89500
Gilbert,Attchd,18494,5,6,1324,4,430.0,1324.0,4.0,199500
Sawyer,Attchd,7162,42,5,904,3,408.0,876.0,3.0,109900
Crawfor,Detchd,10918,83,7,2080,4,282.0,1276.0,4.0,234000
CollgCr,Attchd,4435,2,6,848,4,420.0,848.0,4.0,155900
ClearCr,Attchd,11250,52,4,1788,3,304.0,1104.0,3.0,161500
Timber,Basment,14375,51,6,1344,4,525.0,819.0,3.0,137500
OldTown,none,9045,100,5,2256,2,0.0,840.0,3.0,76500
ClearCr,Attchd,10029,19,6,2060,3,521.0,1151.0,4.0,211000
NAmes,Attchd,4060,10,6,1337,4,511.0,1405.0,4.0,181000
NAmes,Attchd,9020,42,6,1165,3,490.0,1127.0,3.0,174900
Sawyer,Attchd,11777,40,5,1320,3,564.0,1164.0,3.0,164500
NridgHt,Attchd,10171,6,7,1535,4,532.0,1517.0,4.0,214000
NWAmes,Attchd,10400,28,7,2044,3,489.0,738.0,4.0,185000
BrkSide,Detchd,6240,79,4,1136,3,336.0,704.0,3.0,123000
Mitchel,BuiltIn,12150,28,6,1299,4,486.0,1001.0,4.0,183500
Somerst,Detchd,2645,8,8,1441,4,492.0,776.0,4.0,174000
Edwards,Detchd,22692,54,5,1630,3,649.0,1073.0,3.0,130000
OldTown,Detchd,9600,81,7,1641,5,546.0,728.0,3.0,178000
Gilbert,Attchd,13830,13,5,1629,3,482.0,928.0,4.0,189900
CollgCr,Attchd,4435,6,6,848,4,420.0,848.0,4.0,144000
IDOTRR,Detchd,5890,78,6,816,3,432.0,816.0,3.0,120500
CollgCr,Attchd,10859,15,5,1097,3,672.0,1097.0,4.0,145000
StoneBr,Attchd,5330,7,8,1652,5,499.0,1494.0,4.0,251000
Sawyer,none,10778,42,4,1768,3,0.0,1768.0,3.0,136500
Edwards,none,6845,53,4,1152,3,0.0,0.0,0.0,82500
IDOTRR,Detchd,21780,99,2,810,3,280.0,0.0,0.0,57625
NridgHt,Attchd,10307,2,7,1358,4,484.0,1350.0,4.0,212500
Mitchel,Attchd,4500,8,6,1216,3,402.0,1216.0,5.0,164000
IDOTRR,Detchd,9060,49,6,1638,4,384.0,967.0,3.0,139000
Somerst,Detchd,2160,9,7,1252,4,462.0,600.0,4.0,160000
Mitchel,Detchd,7669,17,5,883,3,698.0,828.0,4.0,149000
Mitchel,Attchd,9858,41,5,874,3,288.0,864.0,3.0,130000
OldTown,Detchd,10300,89,7,1710,3,480.0,576.0,3.0,140000
Somerst,Attchd,8125,1,8,1836,4,517.0,1836.0,4.0,264500
NAmes,Attchd,14850,49,5,1092,3,299.0,1092.0,3.0,141000
Somerst,Attchd,4274,1,7,1241,4,569.0,1241.0,4.0,199900
NWAmes,Attchd,9650,32,6,1334,3,630.0,1350.0,4.0,167900
NAmes,Attchd,14585,47,6,1429,4,572.0,1144.0,3.0,181900
Somerst,Attchd,9000,2,8,1566,4,750.0,1566.0,4.0,262500
NWAmes,Attchd,13774,32,7,2288,4,520.0,908.0,4.0,230000
Somerst,Attchd,5119,9,9,1709,4,506.0,1698.0,5.0,328900
NridgHt,Attchd,9254,2,8,1721,4,554.0,1721.0,4.0,232698
CollgCr,Attchd,10324,1,8,1254,4,810.0,1254.0,4.0,221800
Sawyer,2Types,8375,67,5,1350,4,627.0,576.0,3.0,152400
CollgCr,Attchd,9750,9,7,1630,4,451.0,1630.0,4.0,213000
SawyerW,Attchd,7632,1,7,1585,4,449.0,784.0,4.0,184900
Crawfor,Attchd,15750,53,5,1336,3,375.0,1165.0,3.0,157000
Sawyer,Detchd,9240,44,5,1211,3,576.0,864.0,3.0,144000
NWAmes,Attchd,10400,28,6,1353,3,478.0,1259.0,4.0,192350
NAmes,Attchd,8800,41,7,1200,3,440.0,1174.0,3.0,163500
SawyerW,Attchd,11839,18,7,2329,4,514.0,1475.0,4.0,262280
CollgCr,Attchd,9135,6,7,1536,4,532.0,1536.0,4.0,214000
Crawfor,Attchd,14115,50,6,1811,5,470.0,1073.0,3.0,230000
NridgHt,Attchd,14154,1,7,2172,4,947.0,1063.0,5.0,280000
IDOTRR,Detchd,6565,50,4,1073,3,720.0,1073.0,3.0,140000
NAmes,Attchd,7700,44,6,1839,3,442.0,756.0,3.0,155000
IDOTRR,none,4761,88,3,1020,2,0.0,1020.0,3.0,64500
SawyerW,2Types,12361,17,6,1802,4,1017.0,946.0,4.0,218000
CollgCr,Detchd,9720,30,5,1009,3,576.0,995.0,3.0,160000
Somerst,Attchd,8640,0,8,1338,4,598.0,1338.0,4.0,208900
Edwards,Attchd,47007,49,5,3820,5,624.0,0.0,0.0,284700
Somerst,Detchd,3180,1,7,1392,4,540.0,689.0,4.0,146000
Veenker,Attchd,14963,12,8,1288,5,500.0,1260.0,4.0,245500
BrkSide,Detchd,5000,82,6,1013,3,160.0,992.0,3.0,113000
NridgHt,Attchd,16870,5,8,1782,4,932.0,1782.0,5.0,296000
StoneBr,Attchd,14157,2,9,1922,4,676.0,1922.0,5.0,377426
NridgHt,Attchd,12456,3,10,1718,5,786.0,1700.0,5.0,337500
NridgHt,Attchd,14836,5,10,2492,5,949.0,2492.0,5.0,552000
Edwards,Attchd,6956,58,4,936,3,265.0,624.0,2.0,97900
Somerst,Attchd,7862,0,6,1218,4,676.0,1218.0,4.0,208300
Mitchel,Attchd,11050,12,7,1820,4,816.0,910.0,4.0,213000
CollgCr,Attchd,8924,10,7,1724,4,527.0,880.0,4.0,188000
NAmes,Attchd,9610,48,6,1336,3,488.0,1121.0,3.0,162000
IDOTRR,Attchd,13710,57,5,1558,3,282.0,910.0,3.0,152000
Somerst,Attchd,12552,6,7,1947,4,678.0,991.0,4.0,254900
SawyerW,Attchd,14565,14,7,1657,4,483.0,832.0,4.0,189000
NWAmes,Attchd,18559,30,7,2064,4,550.0,2048.0,4.0,235000
Edwards,Detchd,10880,58,5,1164,3,240.0,1164.0,3.0,125000
NPkVill,Attchd,2280,35,7,836,3,308.0,836.0,4.0,120000
Mitchel,Attchd,31250,55,1,1600,3,270.0,0.0,0.0,81500
Edwards,none,11841,17,6,816,3,0.0,816.0,4.0,118500
Somerst,Attchd,9187,0,9,1766,5,478.0,1766.0,5.0,370878
Crawfor,2Types,6270,58,5,2002,3,871.0,1001.0,3.0,145000
Crawfor,Attchd,15660,69,7,1954,4,431.0,798.0,3.0,311500
Blmngtn,Attchd,3087,0,7,1364,4,437.0,1220.0,4.0,210250
CollgCr,BuiltIn,13450,4,7,1861,4,492.0,916.0,4.0,200000
Mitchel,Attchd,10125,32,5,1734,4,539.0,0.0,0.0,126000
OldTown,Detchd,8146,109,4,1039,3,281.0,405.0,2.0,114000
OldTown,Detchd,9600,99,4,1510,4,720.0,677.0,2.0,87500
StoneBr,BuiltIn,12328,2,8,2541,5,729.0,1149.0,5.0,349265
SawyerW,Attchd,10141,5,8,1512,4,845.0,1512.0,4.0,203000
SawyerW,Attchd,8529,8,7,1434,4,527.0,1454.0,4.0,189000
Somerst,Attchd,8127,6,7,1653,4,628.0,812.0,4.0,209000
OldTown,Detchd,8400,109,6,2007,5,357.0,917.0,2.0,160000
Sawyer,Attchd,10751,33,5,1037,3,431.0,1037.0,2.0,129000
Mitchel,Attchd,10010,32,5,1389,3,418.0,1389.0,4.0,170000
Crawfor,Detchd,4280,94,5,694,4,352.0,440.0,3.0,90350
Edwards,none,9600,84,6,1096,3,0.0,572.0,3.0,79000
CollgCr,Attchd,9800,34,5,894,3,552.0,894.0,3.0,149900
NAmes,Detchd,7560,37,5,864,3,576.0,864.0,4.0,123000
OldTown,2Types,9600,106,4,1774,3,779.0,1095.0,3.0,87000
Mitchel,Attchd,9880,31,6,1118,3,358.0,1096.0,3.0,171000
NAmes,Attchd,9600,58,6,1252,3,288.0,1032.0,3.0,119000
NAmes,Attchd,7931,50,5,1148,3,672.0,1148.0,3.0,132500
OldTown,Detchd,5100,83,8,1666,4,228.0,588.0,3.0,161000
CollgCr,BuiltIn,9720,7,9,1947,4,725.0,1357.0,4.0,274000
Sawyer,Detchd,8521,43,5,912,3,336.0,912.0,3.0,125000
Edwards,none,8741,61,5,1195,3,0.0,1195.0,3.0,98500
NoRidge,Attchd,12461,12,8,1624,4,757.0,1624.0,4.0,262000
CollgCr,Attchd,6950,30,5,914,3,444.0,914.0,3.0,134900
Timber,Attchd,16905,48,5,1328,3,308.0,1350.0,3.0,170000
Crawfor,Detchd,7155,81,6,1461,3,225.0,686.0,3.0,135000
NoRidge,Attchd,9205,18,6,2683,4,473.0,930.0,4.0,290000
Gilbert,Attchd,7697,0,7,1258,4,462.0,1246.0,4.0,173500
Edwards,Attchd,7800,58,5,2008,5,230.0,896.0,3.0,225000
NAmes,Attchd,14357,46,5,1187,3,440.0,864.0,3.0,140500
CollgCr,Attchd,8775,13,5,990,3,299.0,990.0,4.0,126000
Somerst,Detchd,2645,9,8,1586,4,480.0,960.0,4.0,170000
CollgCr,Attchd,13568,11,5,990,3,576.0,990.0,4.0,156000
NAmes,Attchd,16321,49,5,1600,3,319.0,1484.0,3.0,207500
Somerst,Attchd,8640,0,8,1792,4,590.0,896.0,4.0,255000
MeadowV,BuiltIn,1596,35,4,988,3,297.0,462.0,4.0,94900
NAmes,Attchd,7315,49,5,1170,3,338.0,1170.0,3.0,140000
OldTown,Detchd,7614,101,3,1376,3,216.0,738.0,3.0,96900
NAmes,Attchd,11000,43,5,1154,3,480.0,1154.0,3.0,154000
OldTown,Detchd,10337,97,8,1772,4,816.0,725.0,3.0,184900
NridgHt,Attchd,14803,1,10,2084,5,1220.0,2078.0,5.0,385000
IDOTRR,Detchd,8765,70,4,951,3,327.0,951.0,3.0,106500
NoRidge,BuiltIn,12720,9,8,2687,4,810.0,1455.0,4.0,327000
Somerst,Attchd,11128,4,9,2490,5,795.0,2458.0,5.0,468000
IDOTRR,Detchd,5160,82,6,1666,3,384.0,1204.0,3.0,135000
SawyerW,Detchd,13072,1,6,1141,3,484.0,1141.0,4.0,142500
NAmes,Attchd,8814,40,5,1464,3,470.0,732.0,3.0,141000
Edwards,none,7000,98,5,1347,3,0.0,1117.0,4.0,107500
SWISU,Detchd,4484,65,5,1282,3,240.0,672.0,3.0,108500
SawyerW,Attchd,9019,12,6,1320,4,472.0,636.0,4.0,150000
IDOTRR,none,8520,90,3,936,3,0.0,216.0,2.0,78000
Somerst,Attchd,11932,1,8,1580,4,830.0,1580.0,4.0,235128
ClearCr,Attchd,115149,36,7,1824,4,739.0,1643.0,4.0,302000
CollgCr,Attchd,14330,33,5,1558,3,440.0,864.0,3.0,163000
Edwards,Detchd,8777,65,3,640,3,240.0,0.0,0.0,84900
NPkVill,Attchd,2308,35,6,1322,3,440.0,855.0,3.0,147000
OldTown,Attchd,2500,94,7,1826,5,164.0,910.0,3.0,155000
Timber,Attchd,8049,16,7,1339,3,484.0,1309.0,4.0,180000
IDOTRR,none,5600,80,4,1092,2,0.0,0.0,0.0,55000
Timber,Attchd,9590,4,7,1146,4,438.0,868.0,5.0,187500
Edwards,Detchd,7200,33,6,1125,3,352.0,1041.0,3.0,125000
Crawfor,Attchd,11500,70,7,2057,4,180.0,1017.0,4.0,250000
OldTown,Detchd,6756,98,5,899,3,200.0,481.0,3.0,78000
OldTown,none,11426,98,4,1594,3,0.0,828.0,3.0,118000
NridgHt,Attchd,12030,0,8,1694,4,818.0,1694.0,5.0,318000
SawyerW,Attchd,9554,13,8,1911,4,471.0,777.0,4.0,215000
IDOTRR,none,8534,81,4,672,3,0.0,432.0,2.0,72000
NWAmes,Attchd,11361,32,6,1523,3,478.0,1193.0,4.0,180000
Timber,Attchd,12416,22,6,1651,3,616.0,1606.0,4.0,184000
NAmes,Attchd,9600,50,5,1041,3,270.0,1041.0,3.0,124500
NAmes,Attchd,8267,52,5,1604,3,576.0,1604.0,3.0,135000
BrkSide,Detchd,6000,68,6,1672,4,240.0,981.0,3.0,164900
NWAmes,Attchd,9600,37,7,1164,3,528.0,1164.0,3.0,140000
NAmes,Attchd,7350,51,5,1041,3,294.0,1041.0,3.0,128000
Sawyer,Basment,7703,30,6,1034,3,504.0,450.0,4.0,153000
OldTown,Detchd,4347,98,6,1609,3,228.0,796.0,4.0,127500
NAmes,Attchd,9600,58,5,1337,4,264.0,572.0,3.0,141500
NoRidge,Attchd,12256,16,8,2622,4,712.0,1463.0,5.0,325000
NWAmes,Attchd,9547,14,7,1594,4,472.0,1594.0,4.0,188500
Somerst,Attchd,7200,0,6,1262,4,572.0,1262.0,4.0,185000
SawyerW,none,13072,3,6,1175,4,0.0,1175.0,4.0,146000
OldTown,Attchd,3600,92,6,1288,5,280.0,624.0,3.0,119000
BrDale,Detchd,1680,38,5,1302,3,280.0,630.0,3.0,112000
Somerst,Attchd,3316,1,8,1247,4,550.0,1247.0,4.0,197000
NridgHt,Attchd,16387,0,9,2589,5,831.0,1738.0,5.0,412083
Mitchel,Attchd,13265,6,8,1689,4,857.0,1568.0,4.0,271000
NridgHt,Attchd,3242,4,7,1405,4,478.0,1405.0,4.0,200000
NWAmes,Attchd,8991,31,7,1324,4,585.0,1228.0,4.0,174000
NAmes,Attchd,8000,47,5,1377,3,351.0,1377.0,3.0,156500
Timber,Attchd,9303,11,6,1756,3,422.0,872.0,5.0,204000
Sawyer,Attchd,8544,42,5,1228,4,271.0,1228.0,3.0,149350
